NDOC;HRP5;HRP5_1B;ASSALARIADO
1;275.03;0.00;N
2;1029.80;1067.65;S
3;1220.44;1190.02;N
4;1155.48;1128.70;N
5;2807.13;423.25;N
6;4237.04;289.39;S
7;101.00;0.00;S
8;1936.65;1848.68;S
9;1989.52;1532.69;S
10;32.10;167.55;N
11;1655.44;1981.89;N
12;2262.74;2652.22;S
13;1090.91;1090.91;N
14;2792.08;3545.67;S
15;18607.80;18607.80;S
16;2536.97;2176.68;N
17;9379.26;9069.95;S
18;1638.95;2361.99;N
19;1000.57;1722.15;N
20;1057.93;1135.99;N
21;4531.67;4531.67;S
22;1265.06;1291.20;S
23;311.72;72.77;N
24;338.09;510.45;S
25;905.42;1131.57;N
26;935.51;779.50;S
27;431.05;409.31;S
28;402.62;338.02;N
29;1278.55;1501.12;S
30;999.28;1393.88;S
31;1213.75;1580.10;S
32;3910.02;6276.37;S
33;296.71;73.68;N
34;2502.85;3758.28;S
35;2675.21;3915.31;S
36;2419.22;1539.20;S
37;395.79;521.72;N
38;1998.45;2443.00;S
39;9396.35;12450.22;N
40;16539.76;16539.76;N
41;1663.39;1868.40;N
42;1604.83;2122.67;S
43;9230.52;9230.52;S
44;1003.55;873.84;S
45;1009.67;1009.67;S
46;7727.95;6377.14;N
47;8980.61;10511.28;S
48;4768.27;4708.91;S
49;18107.72;26561.82;N
50;4728.13;4720.47;N
51;3444.87;2563.47;N
52;193.13;0.00;S
53;1981.15;2177.70;N
54;12654.66;12654.66;S
55;2313.68;2074.90;S
56;2001.69;1527.78;S
57;1069.97;1066.06;N
58;1309.28;1110.53;N
59;8386.59;7989.72;S
60;1429.89;1197.26;S
61;1901.18;2196.62;S
62;1818.42;1474.39;N
63;475.14;683.94;S
64;2494.38;2650.05;S
65;425.15;425.15;N
66;1050.22;1050.74;N
67;15954.52;20578.50;N
68;4095.74;4163.31;S
69;2765.81;2593.56;S
70;1319.71;1647.27;S
71;407.60;396.33;N
72;2695.52;1753.48;N
73;7095.11;4101.95;N
74;1029.02;846.42;S
75;622.26;622.26;S
76;2027.10;2624.10;S
77;326.85;511.71;S
78;19.38;24.06;S
79;2754.23;2790.15;N
80;2563.97;2198.92;S
81;2114.53;1677.35;N
82;1715.01;1715.01;N
83;2101.90;2344.30;N
84;3694.41;2888.64;N
85;3211.08;1672.41;N
86;2965.47;3207.80;S
87;2268.40;2459.89;S
88;1610.33;2365.54;S
89;3680.68;5428.06;S
90;1758.16;1165.74;N
91;691.79;513.21;S
92;2330.79;2626.30;S
93;535.86;733.66;S
94;15246.37;17444.28;N
95;534.14;656.51;S
96;3981.76;3478.16;S
97;941.06;909.42;S
98;149.20;701.46;N
99;2790.74;1797.00;N
100;13053.80;7621.13;N
101;660.43;660.43;S
102;2.68;0.00;S
103;2454.03;3393.95;N
104;7125.69;3829.96;N
105;307.61;221.25;S
106;2942.68;1322.32;N
107;961.91;437.10;S
108;1040.23;627.58;N
109;2634.78;3314.38;S
110;3659.61;3425.32;N
111;1314.52;1618.35;S
112;2542.59;2943.18;N
113;3407.12;4230.82;N
